busco_id	a_halleri	a_thaliana	c_grandiflora
120031at33090	Ah7U00130.1	AT2G22650.1	Cagra.16849s0001.1.p
120455at33090	Ah3G22530.1	AT3G18630.1	Cagra.1681s0031.1.p
120589at33090	Ah3G05870.1	AT3G02710.1	Cagra.1194s0032.1.p
121281at33090	Ah2G15780.1	AT1G66520.1	Cagra.12501s0001.1.p
122367at33090	Ah3G10390.1	AT3G09580.1	Cagra.2515s0048.1.p
122422at33090	Ah6G34470.1	AT4G09750.1	Cagra.3573s0002.1.p
122831at33090	Ah2G06910.1	AT1G59990.1	Cagra.3285s0009.1.p
122958at33090	Ah22U00150.1	AT1G02100.1	Cagra.1968s0146.1.p
123838at33090	Ah1G13150.1	AT1G11780.1	Cagra.0568s0087.1.p
125747at33090	Ah4G00580.1	AT2G21385.1	Cagra.2961s0040.1.p
126138at33090	Ah4G22240.1	AT2G35720.1	Cagra.0993s0083.1.p
126427at33090	Ah6G44040.3	AT4G00560.4	Cagra.4456s0006.1.p
128774at33090	Ah3G22920.1	AT3G18940.1	Cagra.1681s0063.1.p
130268at33090	Ah1G26730.1	AT1G22800.1	Cagra.0114s0024.1.p
130279at33090	Ah1G49510.1	AT1G51110.1	Cagra.2093s0003.1.p
13039at33090	Ah6G38960.1	AT4G04350.1	Cagra.4137s0026.1.p
130637at33090	Ah8G30880.1	AT5G63610.1	Cagra.0248s0040.1.p
131556at33090	Ah1G37740.1	AT1G32500.1	Cagra.7865s0012.1.p
131874at33090	Ah7G15700.1	AT4G25450.1	Cagra.2248s0024.1.p
131914at33090	Ah1G29380.1	AT1G26640.1	Cagra.1150s0038.1.p
133112at33090	Ah3G03650.1	AT3G04560.1	Cagra.4031s0019.1.p
133622at33090	Ah8G34320.1	AT5G67170.1	Cagra.0342s0003.1.p
134078at33090	Ah1G48880.1	AT1G50510.1	Cagra.7055s0010.1.p
135419at33090	Ah6G20440.1	AT5G18660.1	Cagra.0712s0033.1.p
135892at33090	Ah1G31780.1	AT1G27980.1	Cagra.1822s0063.1.p
136118at33090	Ah3G40580.1	AT2G20330.1	Cagra.0338s0025.1.p
136267at33090	Ah7G13910.1	AT4G26980.1	Cagra.1696s0040.1.p
1363at33090	Ah2G22240.3	AT1G71220.3	Cagra.0147s0020.1.p
13643at33090	Ah8G15430.1	AT5G51430.1	Cagra.3782s0015.1.p
136579at33090	Ah7G39830.4	AT5G39940.1	Cagra.5905s0014.1.p
137018at33090	Ah6G24930.1	AT5G23120.2	Cagra.5163s0010.1.p
137771at33090	Ah8G13950.1	AT5G50310.1	Cagra.0888s0021.1.p
137787at33090	Ah7G12440.1	AT4G28200.1	Cagra.1225s0077.1.p
138782at33090	Ah6G30010.3	AT5G27560.3	Cagra.4399s0012.1.p
139062at33090	Ah4G23550.2	AT2G36740.1	Cagra.0228s0066.1.p
139450at33090	Ah6G23900.2	AT5G22320.1	Cagra.0846s0007.1.p
139497at33090	Ah6G17330.1	AT5G15920.1	Cagra.6845s0036.1.p
140683at33090	Ah2U00150.2	AT4G38225.3	Cagra.1383s0014.1.p
140876at33090	Ah6G12550.1	AT5G11450.2	Cagra.7526s0009.1.p
141861at33090	Ah4G01880.2	AT2G22260.6	Cagra.1393s0002.1.p
1419at33090	Ah8G24780.2	AT5G58410.1	Cagra.0891s0035.1.p
142382at33090	Ah1G54110.1	AT1G55480.1	Cagra.15487s0003.1.p
142433at33090	Ah7G00110.1	AT4G38020.1	Cagra.5414s0052.1.p
143102at33090	Ah3G05890.1	AT3G02690.1	Cagra.1194s0034.1.p
143347at33090	Ah1G43870.1	AT1G45110.1	Cagra.20595s0001.1.p
143963at33090	Ah5G03990.1	AT3G25805.1	Cagra.0167s0005.1.p
144144at33090	Ah3G11130.1	AT3G10220.1	Cagra.27459s0001.1.p
144680at33090	Ah4G37260.1	AT2G47450.1	Cagra.0391s0002.1.p
144716at33090	Ah5G04370.1	AT3G26085.2	Cagra.13237s0004.1.p
144765at33090	Ah1G25250.1	AT1G21710.1	Cagra.2306s0018.1.p
144990at33090	Ah2G02980.1	AT1G62730.1	Cagra.1670s0028.1.p
145061at33090	Ah3G20370.2	AT3G17040.1	Cagra.4396s0011.1.p
145734at33090	Ah1G41720.2	AT1G36310.2	Cagra.3906s0003.1.p
146354at33090	Ah2G27810.1	AT1G76080.1	Cagra.0799s0079.1.p
146469at33090	Ah8G07410.1	AT5G43280.1	Cagra.8694s0001.1.p
146772at33090	Ah8G11890.1	AT5G48840.1	Cagra.0787s0008.1.p
146921at33090	Ah7G16130.1	AT4G25080.6	Cagra.10726s0018.1.p
147083at33090	Ah1G22740.1	AT1G19690.1	Cagra.1961s0036.1.p
147262at33090	Ah3G26490.1	AT3G21580.1	Cagra.17504s0001.1.p
148839at33090	Ah3G41660.1	AT2G19560.1	Cagra.0110s0002.1.p
149782at33090	Ah3G07760.1	AT3G01800.1	Cagra.1561s0044.1.p
150559at33090	Ah7G40890.2	AT5G40530.3	Cagra.1148s0013.1.p
152317at33090	Ah2G25920.1	AT1G74530.3	Cagra.0402s0072.1.p
153820at33090	Ah4G20080.2	AT2G34090.4	Cagra.0149s0002.1.p
154870at33090	Ah5G22370.1	AT3G52640.2	Cagra.1952s0010.1.p
155102at33090	Ah1G01580.2	AT1G02410.2	Cagra.1968s0019.1.p
1557at33090	Ah2G19190.1	AT1G68890.1	Cagra.1157s0013.1.p
15682at33090	Ah3G35420.1	AT2G13540.1	Cagra.0985s0003.1.p
156843at33090	Ah4G31760.1	AT2G43030.1	Cagra.0202s0008.1.p
156887at33090	Ah7G05910.1	AT4G33460.1	Cagra.0844s0038.1.p
158492at33090	Ah6G10650.2	AT5G10070.2	Cagra.1085s0050.1.p
158957at33090	Ah2G33890.1	AT1G79790.2	Cagra.0288s0007.1.p
160064at33090	Ah8G07150.4	AT5G43430.4	Cagra.0244s0014.1.p
160610at33090	Ah1G52190.1	AT1G53120.1	Cagra.0946s0048.1.p
160680at33090	Ah1G20610.1	AT1G17760.1	Cagra.2175s0010.1.p
161054at33090	Ah8G31510.1	AT5G64150.1	Cagra.0248s0096.1.p
161066at33090	Ah8G34170.1	AT5G67290.1	Cagra.0342s0016.1.p
161269at33090	Ah5G17350.1	AT3G48540.1	Cagra.0134s0003.1.p
161309at33090	Ah4G33970.1	AT2G44760.1	Cagra.0239s0027.1.p
161559at33090	Ah5G30550.1	AT3G59380.1	Cagra.0216s0041.1.p
162794at33090	Ah6G00800.1	AT5G01230.1	Cagra.3467s0010.1.p
163097at33090	Ah3G07380.1	AT3G01480.1	Cagra.1561s0013.1.p
163701at33090	Ah1G02440.1	AT1G03030.1	Cagra.0897s0075.1.p
163833at33090	Ah7G36420.1	AT5G37530.1	Cagra.0563s0005.1.p
164019at33090	Ah5G25280.1	AT3G54970.1	Cagra.1742s0023.1.p
164556at33090	Ah1G19010.1	AT1G16445.1	Cagra.0824s0017.1.p
165103at33090	Ah6G33170.1	AT4G08790.1	Cagra.3696s0009.1.p
166645at33090	Ah6G16880.1	AT5G15540.1	Cagra.1036s0001.1.p
167076at33090	Ah8G16100.1	AT5G51880.1	Cagra.0277s0032.1.p
167217at33090	Ah6G26920.1	AT5G24840.1	Cagra.0622s0009.1.p
16726at33090	Ah1G02410.1	AT1G03000.1	Cagra.0897s0078.1.p
167325at33090	Ah7G14610.1	AT4G26410.1	Cagra.0684s0026.1.p
167809at33090	Ah4G26290.1	AT2G38730.1	Cagra.2692s0032.1.p
167850at33090	Ah3G08490.1	AT3G07525.2	Cagra.0133s0096.1.p
167932at33090	Ah2G29170.1	AT1G77090.1	Cagra.0450s0029.1.p
168269at33090	Ah7G23070.1	AT4G19540.1	Cagra.3262s0002.1.p
168270at33090	Ah3G09040.1	AT3G08010.1	Cagra.2991s0046.1.p
168563at33090	Ah3G21160.1	AT3G17670.2	Cagra.4396s0073.1.p
169007at33090	Ah7G28820.1	AT4G15520.1	Cagra.3366s0025.1.p
170939at33090	Ah7G16580.2	AT4G24710.3	Cagra.2197s0037.1.p
170945at33090	Ah1G14440.1	AT1G12770.2	Cagra.0568s0194.1.p
171195at33090	Ah1G25400.1	AT1G21840.1	Cagra.2306s0031.1.p
171627at33090	Ah2G15150.1	AT1G66080.1	Cagra.2314s0006.1.p
171708at33090	Ah2G00570.1	AT1G64350.1	Cagra.0062s0006.1.p
171767at33090	Ah5G27260.1	AT3G56650.1	Cagra.0925s0078.1.p
172000at33090	Ah6G11890.1	AT5G10910.1	Cagra.1398s0030.1.p
172535at33090	Ah3G29800.1	AT3G24200.2	Cagra.0026s0032.1.p
172666at33090	Ah6G15960.1	AT5G14660.1	Cagra.3166s0070.1.p
173119at33090	Ah8G23680.1	AT5G57450.2	Cagra.21612s0001.1.p
173143at33090	Ah4G34310.1	AT2G45000.1	Cagra.0239s0053.1.p
173477at33090	Ah4G07910.1	AT2G25950.1	Cagra.28639s0001.1.p
174213at33090	Ah7G29520.2	AT4G15030.2	Cagra.1850s0035.1.p
174767at33090	Ah8G29950.2	AT5G62840.1	Cagra.5118s0017.1.p
175583at33090	Ah16U00070.1	AT4G00030.1	Cagra.20893s0008.1.p
175792at33090	Ah1G15220.1	AT1G13330.1	Cagra.3501s0166.1.p
176016at33090	Ah1G02580.1	AT1G03150.1	Cagra.0897s0062.1.p
176328at33090	Ah2G22400.1	AT1G71350.1	Cagra.0147s0009.1.p
177296at33090	Ah7G11780.1	AT4G28830.1	Cagra.1225s0006.1.p
177720at33090	Ah8G12920.1	AT5G49570.1	Cagra.3474s0020.1.p
177964at33090	Ah6G14400.1	AT5G13410.1	Cagra.0596s0030.1.p
178386at33090	Ah8G35200.1	AT5G66530.3	Cagra.2007s0047.1.p
179975at33090	Ah1G13740.1	AT1G12250.1	Cagra.0568s0134.1.p
180408at33090	Ah5G05090.1	AT3G26710.1	Cagra.3598s0018.1.p
180466at33090	Ah3G09680.1	AT3G08950.1	Cagra.23565s0001.1.p
180674at33090	Ah1G18640.1	AT1G16080.1	Cagra.2238s0015.1.p
181108at33090	Ah6G22040.2	AT5G19940.1	Cagra.1268s0006.1.p
182493at33090	Ah2G25370.2	AT1G74070.1	Cagra.0876s0042.1.p
182513at33090	Ah4G33700.1	AT2G44520.1	Cagra.0239s0002.1.p
183313at33090	Ah5G32530.1	AT3G61080.2	Cagra.3373s0043.1.p
183396at33090	Ah8G13660.1	AT5G50100.1	Cagra.14503s0006.1.p
183719at33090	Ah7G06740.1	AT4G32770.1	Cagra.4093s0006.1.p
183931at33090	Ah8G21750.1	AT5G56130.1	Cagra.3745s0010.1.p
184405at33090	Ah3U00310.1	AT4G12740.1	Cagra.1329s0012.1.p
18455at33090	Ah3G22830.1	AT3G18860.1	Cagra.1681s0058.1.p
185172at33090	Ah4G32650.1	AT2G43760.1	Cagra.1517s0004.1.p
185214at33090	Ah4G36610.1	AT2G46910.1	Cagra.0050s0009.1.p
1855at33090	Ah5G25480.1	AT3G55160.2	Cagra.1742s0004.1.p
185696at33090	Ah4G36600.1	AT2G46900.1	Cagra.0050s0010.1.p
185941at33090	Ah2G28280.1	AT1G76450.1	Cagra.9514s0004.1.p
186340at33090	Ah7G28830.2	AT4G15510.1	Cagra.3366s0026.1.p
187462at33090	Ah7G06330.1	AT4G33060.1	Cagra.0844s0002.1.p
187866at33090	Ah4G30190.1	AT2G41750.1	Cagra.0914s0001.1.p
187914at33090	Ah7G42200.1	AT5G41480.1	Cagra.1873s0007.1.p
18801at33090	Ah7G36560.1	AT5G37630.1	Cagra.0959s0007.1.p
188180at33090	Ah1G08620.4	AT1G08110.4	Cagra.4395s0001.1.p
188436at33090	Ah4G31460.1	AT2G42770.1	Cagra.0202s0037.1.p
188583at33090	Ah3G02800.1	AT3G05210.1	Cagra.2179s0035.1.p
188938at33090	Ah7G38230.1	AT5G38660.2	Cagra.4701s0011.1.p
189891at33090	Ah7G41390.1	AT5G40850.1	Cagra.10745s0001.1.p
190390at33090	Ah7G07300.1	AT4G32320.1	Cagra.2471s0020.1.p
191396at33090	Ah6G27730.1	AT5G25480.1	Cagra.0701s0009.1.p
191581at33090	Ah2G11450.1	AT1G54780.1	Cagra.14373s0003.1.p
192090at33090	Ah6G19600.1	AT5G17930.1	Cagra.6254s0037.1.p
192456at33090	Ah4G25240.1	AT3G57810.4	Cagra.0090s0019.1.p
192750at33090	Ah1G13900.1	AT1G12410.1	Cagra.0568s0149.1.p
193351at33090	Ah1G51460.1	AT1G52590.1	Cagra.4237s0009.1.p
193437at33090	Ah1G00840.1	AT1G01290.1	Cagra.1968s0072.1.p
193683at33090	Ah5G21800.1	AT3G52220.1	Cagra.1889s0012.1.p
193777at33090	Ah4G01410.1	AT2G21960.1	Cagra.0964s0006.1.p
193982at33090	Ah4G21790.1	AT2G35360.1	Cagra.0993s0044.1.p
194002at33090	Ah7G00200.1	AT4G38090.1	Cagra.5414s0044.1.p
194293at33090	Ah1G00160.3	AT1G01860.4	Cagra.1968s0124.1.p
194372at33090	Ah8G07950.1	AT5G43050.1	Cagra.29942s0001.1.p
194467at33090	Ah5G33790.1	AT3G61870.1	Cagra.0483s0058.1.p
195185at33090	Ah1G07640.1	AT1G07320.1	Cagra.1671s0354.1.p
195354at33090	Ah3G13640.1	AT3G12210.2	Cagra.0430s0053.1.p
195527at33090	Ah1G39660.1	AT1G34150.1	Cagra.0682s0001.1.p
195843at33090	Ah7G11260.2	AT4G29170.1	Cagra.0495s0062.1.p
196198at33090	Ah3G00560.1	AT3G06730.1	Cagra.0133s0024.1.p
196324at33090	Ah7G37780.3	AT5G38360.1	Cagra.1761s0005.1.p
196325at33090	Ah2G13390.1	AT1G65030.1	Cagra.0406s0004.1.p
196410at33090	Ah8G05500.2	AT5G44450.2	Cagra.0629s0014.1.p
196443at33090	Ah4G34200.1	AT2G44920.2	Cagra.0239s0044.1.p
196490at33090	Ah7G12650.1	AT4G28020.1	Cagra.1225s0096.1.p
196512at33090	Ah2G17140.1	AT1G67440.2	Cagra.6722s0001.1.p
196850at33090	Ah7G04270.2	AT4G34730.1	Cagra.2350s0022.1.p
196873at33090	Ah4G25420.1	AT2G38130.1	Cagra.4190s0002.1.p
196991at33090	Ah5G28730.1	AT3G57910.1	Cagra.0686s0009.1.p
197780at33090	Ah6G16730.1	AT5G15390.1	Cagra.1036s0016.1.p
197838at33090	Ah5G20970.1	AT3G51510.1	Cagra.0926s0113.1.p
198012at33090	Ah7G24390.1	AT4G18460.1	Cagra.2935s0010.1.p
198570at33090	Ah1G25320.2	AT1G21760.1	Cagra.2306s0024.1.p
199163at33090	Ah4G28760.1	AT2G40660.1	Cagra.1642s0031.1.p
199618at33090	Ah5G26940.1	AT3G56330.1	Cagra.0925s0049.1.p
199795at33090	Ah8G17720.1	AT5G52970.2	Cagra.0084s0043.1.p
200316at33090	Ah3G18500.1	AT3G15520.1	Cagra.1336s0027.1.p
200488at33090	Ah5G21540.1	AT3G52050.3	Cagra.1043s0009.1.p
200499at33090	Ah7G12890.1	AT4G27800.1	Cagra.1225s0114.1.p
200687at33090	Ah8G18420.1	AT5G53490.4	Cagra.0084s0092.1.p
201861at33090	Ah8G15050.1	AT5G51220.1	Cagra.3782s0033.1.p
203023at33090	Ah2G12040.1	AT1G54500.1	Cagra.8193s0003.1.p
203383at33090	Ah8G24330.1	AT5G58020.1	Cagra.2848s0087.1.p
203818at33090	Ah1G02140.1	AT1G02870.1	Cagra.0897s0090.1.p
204117at33090	Ah3G32350.1	AT2G04360.2	Cagra.2387s0006.1.p
204880at33090	Ah1G32010.1	AT1G28140.1	Cagra.1822s0049.1.p
205308at33090	Ah3G17850.1	AT3G15080.1	Cagra.0007s0050.1.p
206164at33090	Ah1G09780.1	AT1G09150.1	Cagra.4395s0096.1.p
206170at33090	Ah4G23690.1	AT2G36895.3	Cagra.0558s0005.1.p
207179at33090	Ah3G03800.2	AT3G04460.2	Cagra.4031s0030.1.p
208706at33090	Ah5G35440.1	AT3G63190.1	Cagra.0664s0056.1.p
208707at33090	Ah4G05960.1	AT2G24860.1	Cagra.1004s0010.1.p
208849at33090	Ah7G24530.1	AT4G18372.1	Cagra.1595s0038.1.p
209015at33090	Ah8G06020.1	AT5G44200.2	Cagra.0381s0007.1.p
209301at33090	Ah1G03680.1	AT1G04130.1	Cagra.1671s0030.1.p
209302at33090	Ah16U00060.1	AT4G00026.1	Cagra.20893s0007.1.p
209516at33090	Ah5G31820.2	AT3G60370.2	Cagra.1850s0023.1.p
210493at33090	Ah1G42210.1	AT1G42480.1	Cagra.6119s0003.1.p
210551at33090	Ah7G01570.1	AT4G37200.1	Cagra.4909s0019.1.p
210851at33090	Ah8G23150.1	AT5G57040.1	Cagra.1569s0013.1.p
21163at33090	Ah3G32260.6	AT2G04270.5	Cagra.2387s0001.1.p
211645at33090	Ah8G13670.1	AT5G50110.1	Cagra.14503s0004.1.p
212331at33090	Ah1G30950.1	AT1G24310.1	Cagra.2625s0005.1.p
212845at33090	Ah3G02550.1	AT3G05410.2	Cagra.9074s0001.1.p
213827at33090	Ah4G32360.2	AT2G43560.1	Cagra.3706s0041.1.p
213828at33090	Ah1G16440.1	AT1G14345.1	Cagra.3501s0067.1.p
214313at33090	Ah6G39140.1	AT4G04614.2	Cagra.4137s0006.1.p
215062at33090	Ah3G32910.2	AT2G04845.1	Cagra.1158s0002.1.p
215487at33090	Ah1G08940.1	AT1G08390.1	Cagra.4395s0028.1.p
215817at33090	Ah1G35180.1	AT1G30480.1	Cagra.1508s0157.1.p
216228at33090	Ah6G04280.1	AT5G04440.1	Cagra.9217s0024.1.p
216601at33090	Ah4G36240.1	AT2G46580.1	Cagra.0050s0040.1.p
217014at33090	Ah2G07160.2	AT1G59840.2	Cagra.5017s0008.1.p
21751at33090	Ah5G16730.1	AT3G48110.1	Cagra.4239s0008.1.p
21857at33090	Ah7G20840.1	AT4G21530.1	Cagra.3519s0004.1.p
218947at33090	Ah4G10880.1	AT2G27290.1	Cagra.9598s0006.1.p
219128at33090	Ah7G40860.2	AT5G40500.1	Cagra.1148s0010.1.p
219839at33090	Ah1G45950.1	AT1G48350.1	Cagra.1131s0026.1.p
220316at33090	Ah6G06650.1	AT5G06410.1	Cagra.2117s0021.1.p
220587at33090	Ah7G33900.1	AT5G35080.1	Cagra.17944s0001.1.p
220589at33090	Ah6G18820.1	AT5G17240.1	Cagra.4849s0010.1.p
22109at33090	Ah8G13850.1	AT5G50210.1	Cagra.0888s0032.1.p
223902at33090	Ah1G08440.4	AT1G07960.4	Cagra.1637s0004.1.p
225336at33090	Ah4G08780.2	AT2G26340.2	Cagra.20464s0002.1.p
22618at33090	Ah4G15630.6	AT2G30600.5	Cagra.0567s0024.1.p
227848at33090	Ah1G50270.1	AT1G51730.1	Cagra.15243s0005.1.p
228201at33090	Ah3G25150.1	AT3G20680.1	Cagra.1220s0004.1.p
22958at33090	Ah3G04010.1	AT3G04260.1	Cagra.4031s0044.1.p
229764at33090	Ah4G21940.1	AT2G35500.1	Cagra.0993s0060.1.p
229778at33090	Ah4G22750.1	AT2G36145.1	Cagra.0228s0002.1.p
229782at33090	Ah3G10090.1	AT3G09310.1	Cagra.2515s0022.1.p
230103at33090	Ah1G19560.1	AT1G16870.1	Cagra.0824s0057.1.p
231151at33090	Ah2G23720.3	AT1G72640.1	Cagra.1013s0037.1.p
231707at33090	Ah5G32130.1	AT3G60660.1	Cagra.6011s0012.1.p
233744at33090	Ah2G17390.1	AT1G67620.1	Cagra.5416s0006.1.p
23444at33090	Ah2G23410.3	AT1G72320.1	Cagra.1013s0066.1.p
23853at33090	Ah1G02590.2	AT1G03160.1	Cagra.0897s0061.1.p
24838at33090	Ah6G24880.1	AT5G23080.1	Cagra.5163s0006.1.p
24at33090	Ah3G06460.4	AT3G02260.1	Cagra.3823s0026.1.p
25435at33090	Ah1G04460.1	AT1G04730.1	Cagra.1671s0093.1.p
255at33090	Ah5U00140.2	AT1G64790.2	Cagra.7355s0003.1.p
26868at33090	Ah6G00890.1	AT5G01310.1	Cagra.4082s0012.1.p
27237at33090	Ah6G00220.1	AT5G02250.1	Cagra.0487s0018.1.p
27607at33090	Ah5G20410.1	AT3G51050.1	Cagra.0926s0070.1.p
28920at33090	Ah3G10490.1	AT3G09660.1	Cagra.2515s0056.1.p
31855at33090	Ah5G00280.2	AT2G01320.3	Cagra.1451s0012.1.p
32730at33090	Ah6G10390.1	AT5G09860.1	Cagra.1085s0073.1.p
32923at33090	Ah8G02580.1	AT5G45900.1	Cagra.2097s0004.1.p
33264at33090	Ah6G16490.1	AT5G15170.1	Cagra.1036s0040.1.p
34517at33090	Ah2G17860.1	AT1G67930.1	Cagra.7254s0007.1.p
35499at33090	Ah7G09250.1	AT4G30720.1	Cagra.0380s0049.1.p
35887at33090	Ah6G18130.1	AT5G16630.2	Cagra.0434s0029.1.p
36284at33090	Ah3G23990.2	AT3G19720.1	Cagra.6943s0013.1.p
37663at33090	Ah6G23100.1	AT5G20990.1	Cagra.10304s0011.1.p
37699at33090	Ah3G20140.1	AT3G16840.2	Cagra.5497s0016.1.p
39913at33090	Ah8G27350.1	AT5G60600.1	Cagra.2519s0031.1.p
4034at33090	Ah2G25200.1	AT1G73960.1	Cagra.0876s0029.1.p
40630at33090	Ah7G26900.1	AT4G16630.1	Cagra.5494s0007.1.p
41146at33090	Ah4G32180.1	AT2G43400.1	Cagra.3706s0026.1.p
4115at33090	Ah5G24700.3	AT3G54440.3	Cagra.0562s0035.1.p
41244at33090	Ah7G14000.1	AT4G26900.1	Cagra.1696s0031.1.p
42407at33090	Ah3G24130.1	AT3G19840.1	Cagra.0316s0084.1.p
43683at33090	Ah4G29010.2	AT2G40860.1	Cagra.1642s0053.1.p
43957at33090	Ah1G17950.1	AT1G15440.1	Cagra.2238s0075.1.p
44063at33090	Ah8G32390.1	AT5G64860.1	Cagra.2438s0015.1.p
44526at33090	Ah3G00030.1	AT3G07140.1	Cagra.0133s0059.1.p
46307at33090	Ah7G05130.1	AT4G34030.1	Cagra.1305s0028.1.p
48027at33090	Ah8G31410.1	AT5G64050.1	Cagra.0248s0086.1.p
48290at33090	Ah5G17160.2	AT3G48380.3	Cagra.0807s0016.1.p
48645at33090	Ah8G22930.1	AT5G56900.2	Cagra.4138s0001.1.p
49092at33090	Ah8G29560.1	AT5G62530.1	Cagra.4003s0040.1.p
50512at33090	Ah8G10790.1	AT5G48340.1	Cagra.5253s0001.1.p
50528at33090	Ah6G35240.1	AT4G10180.1	Cagra.6692s0002.1.p
51214at33090	Ah4G28790.1	AT2G40700.1	Cagra.1642s0036.1.p
51262at33090	Ah1G32280.1	AT1G28320.1	Cagra.1822s0029.1.p
52795at33090	Ah3G15440.1	AT3G13490.1	Cagra.0690s0012.1.p
5305at33090	Ah4G28890.1	AT3G54460.1	Cagra.0562s0038.1.p
53416at33090	Ah4G33860.1	AT2G44660.1	Cagra.0239s0015.1.p
53527at33090	Ah4G28990.1	AT2G40840.1	Cagra.1642s0051.1.p
58672at33090	Ah1G09110.1	AT1G08550.3	Cagra.4395s0045.1.p
5927at33090	Ah2G31810.2	AT1G79190.2	Cagra.1361s0066.1.p
60262at33090	Ah6G08190.3	AT5G07590.3	Cagra.2925s0025.1.p
62262at33090	Ah1G23560.1	AT1G20410.1	Cagra.1136s0016.1.p
63411at33090	Ah3G30400.1	AT3G24430.1	Cagra.0454s0012.1.p
63853at33090	Ah7G06390.1	AT4G33030.1	Cagra.4093s0033.1.p
64272at33090	Ah2G19430.2	AT1G69070.2	Cagra.1157s0029.1.p
6512at33090	Ah8G17650.1	AT5G52910.2	Cagra.0084s0038.1.p
65263at33090	Ah8G35610.1	AT5G66130.1	Cagra.10427s0022.1.p
67132at33090	Ah3G25280.1	AT3G20780.1	Cagra.2243s0006.1.p
67389at33090	Ah2G00230.1	AT1G64600.1	Cagra.3790s0002.1.p
68169at33090	Ah6G05710.1	AT5G05680.1	Cagra.1504s0069.1.p
6843at33090	Ah2G10040.1	AT1G56500.1	Cagra.7917s0001.1.p
68537at33090	Ah1G19160.2	AT1G16570.2	Cagra.0824s0030.1.p
68957at33090	Ah1G19630.1	AT1G16900.1	Cagra.0824s0060.1.p
69073at33090	Ah5G08150.1	AT3G28700.1	Cagra.0535s0001.1.p
69137at33090	Ah6G07230.1	AT5G06830.1	Cagra.8005s0019.1.p
69505at33090	Ah4G28650.3	AT2G40570.1	Cagra.1642s0020.1.p
70613at33090	Ah8G19240.1	AT5G54080.2	Cagra.1645s0005.1.p
71620at33090	Ah2G16990.1	AT1G67320.3	Cagra.1125s0010.1.p
72992at33090	Ah4G09060.1	AT2G26460.1	Cagra.24531s0002.1.p
7366at33090	Ah8G13470.1	AT5G49930.1	Cagra.2776s0014.1.p
74230at33090	Ah4G03410.1	AT2G23390.1	Cagra.6152s0006.1.p
