species	gene_id	N	S	dN	dS	omega	t	qc_flag	used	excl_reason
a_halleri	111249at33090	912.0	297.0	0.01390	0.04740	0.29300	0.06600	ok	1	
a_halleri	111924at33090	742.9	232.1	0.00600	0.06520	0.09190	0.06000	ok	1	
a_halleri	112325at33090	860.5	255.5	0.00930	0.08250	0.11260	0.07800	ok	1	
a_halleri	112461at33090	1284.7	389.3	0.00770	0.02920	0.26340	0.03800	ok	1	
a_halleri	112542at33090	765.1	299.9	0.01340	0.07140	0.18750	0.08900	ok	1	
a_halleri	114996at33090	2996.6	948.4	0.00670	0.04060	0.16510	0.04500	ok	1	
a_halleri	115240at33090	923.0	319.0	0.00110	0.04860	0.02180	0.04000	ok	1	
a_halleri	115992at33090	648.8	248.2	0.00160	0.04320	0.03630	0.03900	ok	1	
a_halleri	116411at33090	822.2	272.8	0.00240	0.06110	0.04000	0.05100	ok	1	
a_halleri	116516at33090	1216.8	427.2	0.00690	0.05450	0.12570	0.05800	ok	1	
a_halleri	116585at33090	845.0	277.0	0.00430	0.03690	0.11540	0.03700	ok	1	
a_halleri	116623at33090	913.7	298.3	0.01540	0.12560	0.12290	0.12800	ok	1	
a_halleri	117191at33090	862.8	343.2	0.00350	0.06150	0.05660	0.06000	ok	1	
a_halleri	117247at33090	776.7	264.3	0.00910	0.08970	0.10150	0.08900	ok	1	
a_halleri	11800at33090	2847.9	947.1	0.00780	0.07430	0.10540	0.07300	ok	1	
a_halleri	119439at33090	1010.2	393.8	0.00710	0.03730	0.19080	0.04700	ok	1	
a_halleri	120031at33090	922.8	331.2	0.01480	0.01830	0.80830	0.04700	ok	1	
a_halleri	120455at33090	706.3	280.7	0.01230	0.06190	0.19830	0.07900	ok	1	
a_halleri	120589at33090	1227.4	359.6	0.00490	0.06940	0.07110	0.05900	ok	1	
a_halleri	121281at33090	771.5	293.5	0.01060	0.06120	0.17260	0.07400	ok	1	
a_halleri	122367at33090	1009.7	418.3	0.01340	0.04280	0.31370	0.06600	ok	1	
a_halleri	122422at33090	733.0	233.0	0.00410	0.07980	0.05150	0.06700	ok	1	
a_halleri	122831at33090	1240.9	373.1	0.00870	0.10230	0.08480	0.09100	ok	1	
a_halleri	122958at33090	766.4	229.6	0.01130	0.02450	0.46230	0.04300	ok	1	
a_halleri	123838at33090	780.6	254.4	0.01240	0.05850	0.21240	0.07100	ok	1	
a_halleri	125747at33090	759.1	224.9	0.00410	0.04660	0.08780	0.04100	ok	1	
a_halleri	126138at33090	1209.1	404.9	0.00310	0.04690	0.06570	0.04200	ok	1	
a_halleri	126427at33090	721.4	244.6	0.01110	0.05980	0.18540	0.07000	ok	1	
a_halleri	128774at33090	623.0	220.0	0.00970	0.01580	0.61270	0.03400	ok	1	
a_halleri	130268at33090	804.9	260.1	0.00350	0.07040	0.04920	0.05900	ok	1	
a_halleri	130279at33090	904.1	319.9	0.01490	0.07280	0.20410	0.09000	ok	1	
a_halleri	13039at33090	2189.1	726.9	0.00840	0.06230	0.13440	0.06500	ok	1	
a_halleri	130637at33090	1044.3	362.7	0.00740	0.08280	0.08960	0.08100	ok	1	
a_halleri	131556at33090	1068.5	350.5	0.00880	0.02980	0.29600	0.04200	ok	1	
a_halleri	131874at33090	1471.9	553.1	0.00690	0.04790	0.14450	0.05400	ok	1	
a_halleri	131914at33090	712.9	250.1	0.00700	0.05800	0.12070	0.06100	ok	1	
a_halleri	133112at33090	917.2	324.8	0.00760	0.05890	0.12830	0.06300	ok	1	
a_halleri	133622at33090	861.5	254.5	0.02350	0.06250	0.37560	0.09700	ok	1	
a_halleri	134078at33090	729.0	261.0	0.00280	0.04230	0.06550	0.04000	ok	1	
a_halleri	135419at33090	937.5	313.5	0.00530	0.06250	0.08540	0.05900	ok	1	
a_halleri	135892at33090	1216.4	415.6	0.00660	0.05660	0.11590	0.05800	ok	1	
a_halleri	136118at33090	1473.0	468.0	0.00950	0.07140	0.13340	0.07300	ok	1	
a_halleri	136267at33090	755.8	267.2	0.01260	0.03200	0.39280	0.05300	ok	1	
a_halleri	1363at33090	3646.6	1171.4	0.00390	0.02580	0.15190	0.02800	ok	1	
a_halleri	13643at33090	1841.2	666.8	0.00160	0.05190	0.03140	0.04500	ok	1	
a_halleri	136579at33090	1015.0	311.0	0.01540	0.07150	0.21470	0.08600	ok	1	
a_halleri	137018at33090	888.9	320.1	0.00410	0.06770	0.06070	0.06300	ok	1	
a_halleri	137771at33090	1559.1	438.9	0.00590	0.07190	0.08150	0.06100	ok	1	
a_halleri	137787at33090	1490.5	447.5	0.01300	0.06140	0.21210	0.07300	ok	1	
a_halleri	138782at33090	749.2	252.8	0.00940	0.09120	0.10330	0.09000	ok	1	
a_halleri	139062at33090	831.7	260.3	0.01590	0.02740	0.58120	0.05600	ok	1	
a_halleri	139450at33090	1045.1	289.9	0.01700	0.03390	0.50250	0.06200	ok	1	
a_halleri	139497at33090	2434.6	721.4	0.01140	0.06530	0.17440	0.07100	ok	1	
a_halleri	140683at33090	782.7	297.3	0.01580	0.05790	0.27240	0.08200	ok	1	
a_halleri	140876at33090	651.6	230.4	0.00310	0.03100	0.09850	0.03100	ok	1	
a_halleri	141861at33090	662.9	213.1	0.02700	0.06250	0.43170	0.10700	ok	1	
a_halleri	1419at33090	4124.4	1443.6	0.00970	0.03540	0.27500	0.04900	ok	1	
a_halleri	142382at33090	758.5	246.5	0.00740	0.06840	0.10850	0.06700	ok	1	
a_halleri	142433at33090	777.5	278.5	0.01730	0.07930	0.21830	0.10100	ok	1	
a_halleri	143102at33090	893.6	351.4	0.00670	0.04810	0.13950	0.05500	ok	1	
a_halleri	143347at33090	750.5	242.5	0.00690	0.05440	0.12700	0.05600	ok	1	
a_halleri	143963at33090	716.2	276.8	0.02900	0.04600	0.63050	0.10100	ok	1	
a_halleri	144144at33090	469.0	146.0	0.00650	0.06230	0.10390	0.05900	ok	1	
a_halleri	144680at33090	500.3	183.7	0.01900	0.00000	999.00000	0.04200	omega_boundary	1	
a_halleri	144716at33090	651.0	222.0	0.06500	0.12080	0.53830	0.23800	ok	1	
a_halleri	144765at33090	743.5	294.5	0.00440	0.06300	0.07020	0.06300	ok	1	
a_halleri	144990at33090	672.5	236.5	0.00230	0.07090	0.03240	0.06000	ok	1	
a_halleri	145061at33090	1429.3	517.7	0.01010	0.04940	0.20490	0.06200	ok	1	
a_halleri	145734at33090	954.6	251.4	0.00220	0.08580	0.02590	0.05900	ok	1	
a_halleri	146354at33090	662.9	243.1	0.00770	0.12080	0.06360	0.11400	ok	1	
a_halleri	146469at33090	597.0	231.0	0.01020	0.09520	0.10760	0.10200	ok	1	
a_halleri	146772at33090	692.9	237.1	0.00940	0.12600	0.07460	0.11700	ok	1	
a_halleri	146921at33090	536.2	198.8	0.00000	0.06500	0.00010	0.05300	omega_boundary	1	
a_halleri	147083at33090	769.7	265.3	0.01120	0.06050	0.18420	0.07100	ok	1	
a_halleri	147262at33090	795.7	332.3	0.01500	0.06670	0.22410	0.09100	ok	1	
a_halleri	148839at33090	946.8	292.2	0.00100	0.03770	0.02670	0.02900	ok	1	
a_halleri	149782at33090	572.0	196.0	0.00420	0.05640	0.07500	0.05300	ok	1	
a_halleri	150559at33090	654.5	164.5	0.04050	0.11370	0.35610	0.16600	ok	1	
a_halleri	152317at33090	675.3	263.7	0.01050	0.05810	0.18030	0.07200	ok	1	
a_halleri	153820at33090	980.6	333.4	0.00520	0.07130	0.07240	0.06600	ok	1	
a_halleri	154870at33090	1504.0	524.0	0.00490	0.05630	0.08620	0.05400	ok	1	
a_halleri	155102at33090	642.5	218.5	0.00470	0.02920	0.16120	0.03300	ok	1	
a_halleri	1557at33090	3871.1	1261.9	0.00880	0.04230	0.20860	0.05100	ok	1	
a_halleri	15682at33090	1890.7	653.3	0.00310	0.04110	0.07620	0.03900	ok	1	
a_halleri	156843at33090	596.0	217.0	0.00160	0.05700	0.02890	0.04900	ok	1	
a_halleri	156887at33090	611.6	201.4	0.00830	0.06610	0.12560	0.06800	ok	1	
a_halleri	158492at33090	615.1	173.9	0.00320	0.06940	0.04670	0.05300	ok	1	
a_halleri	158957at33090	549.0	168.0	0.02570	0.02120	1.20820	0.07400	ok	1	
a_halleri	160064at33090	423.6	146.4	0.00470	0.06580	0.07210	0.06100	ok	1	
a_halleri	160610at33090	708.3	251.7	0.01400	0.08400	0.16720	0.09700	ok	1	
a_halleri	160680at33090	1610.6	534.4	0.00200	0.03160	0.06250	0.02800	ok	1	
a_halleri	161054at33090	825.3	305.7	0.01240	0.05550	0.22400	0.07200	ok	1	
a_halleri	161066at33090	856.4	349.6	0.01600	0.05560	0.28710	0.08200	ok	1	
a_halleri	161269at33090	510.4	179.6	0.01200	0.05290	0.22730	0.06800	ok	1	
a_halleri	161309at33090	1131.7	350.3	0.00710	0.02580	0.27320	0.03400	ok	1	
a_halleri	161559at33090	665.9	264.1	0.00460	0.05300	0.08660	0.05500	ok	1	
a_halleri	162794at33090	650.0	217.0	0.00000	0.00000	0.00010	0.00000	omega_boundary	1	
a_halleri	163097at33090	964.9	346.1	0.00780	0.03900	0.19940	0.04800	ok	1	
a_halleri	163701at33090	681.8	215.2	0.00980	0.05900	0.16660	0.06500	ok	1	
a_halleri	163833at33090	952.0	341.0	0.00310	0.02910	0.10770	0.03000	ok	1	
a_halleri	164019at33090	800.1	252.9	0.01370	0.01000	1.37650	0.03800	ok	1	
a_halleri	164556at33090	593.6	219.4	0.01610	0.02570	0.62510	0.05600	ok	1	
a_halleri	165103at33090	666.0	228.0	0.01360	0.19960	0.06810	0.18300	ok	1	
a_halleri	166645at33090	4121.5	1344.5	0.00570	0.02660	0.21310	0.03200	ok	1	
a_halleri	167076at33090	519.9	161.1	0.01400	0.08350	0.16740	0.09100	ok	1	
a_halleri	167217at33090	565.0	188.0	0.00170	0.10920	0.01570	0.08600	ok	1	
a_halleri	16726at33090	2046.1	716.9	0.00980	0.04560	0.21430	0.05700	ok	1	
a_halleri	167325at33090	572.4	216.6	0.00840	0.01930	0.43750	0.03400	ok	1	
a_halleri	167809at33090	429.5	167.5	0.00000	0.07420	0.00010	0.06300	omega_boundary	1	
a_halleri	167850at33090	509.0	166.0	0.01610	0.07340	0.21940	0.09100	ok	1	
a_halleri	167932at33090	553.6	202.4	0.00910	0.04490	0.20260	0.05600	ok	1	
a_halleri	168269at33090	574.2	181.8	0.01040	0.03940	0.26480	0.05200	ok	1	
a_halleri	168270at33090	855.9	266.1	0.00230	0.01400	0.16690	0.01500	ok	1	
a_halleri	168563at33090	511.4	190.6	0.00760	0.06590	0.11520	0.07000	ok	1	
a_halleri	169007at33090	475.9	190.1	0.01070	0.09030	0.11820	0.10000	ok	1	
a_halleri	170939at33090	1075.4	361.6	0.00180	0.05590	0.03160	0.04600	ok	1	
a_halleri	170945at33090	1202.2	435.8	0.00850	0.06590	0.12970	0.07100	ok	1	
a_halleri	171195at33090	541.4	178.6	0.01200	0.10820	0.11050	0.10800	ok	1	
a_halleri	171627at33090	441.1	128.9	0.01110	0.13870	0.08040	0.12000	ok	1	
a_halleri	171708at33090	711.4	254.6	0.00280	0.03110	0.09030	0.03100	ok	1	
a_halleri	171767at33090	558.9	221.1	0.00810	0.03470	0.23230	0.04700	ok	1	
a_halleri	172000at33090	980.8	321.2	0.00650	0.06520	0.10040	0.06300	ok	1	
a_halleri	172535at33090	1012.7	334.3	0.01130	0.04910	0.23070	0.06200	ok	1	
a_halleri	172666at33090	604.5	208.5	0.01540	0.11310	0.13650	0.12100	ok	1	
a_halleri	173119at33090	695.1	201.9	0.01930	0.08610	0.22350	0.10300	ok	1	
a_halleri	173143at33090	1417.2	769.8	0.00940	0.04260	0.22020	0.06300	ok	1	
a_halleri	173477at33090	440.6	132.4	0.00450	0.05540	0.08190	0.04900	ok	1	
a_halleri	174213at33090	577.9	157.1	0.01020	0.03980	0.25560	0.05000	ok	1	
a_halleri	174767at33090	508.2	178.8	0.00200	0.06300	0.03150	0.05400	ok	1	
a_halleri	175583at33090	465.0	147.0	0.01330	0.01800	0.73900	0.04300	ok	1	
a_halleri	175792at33090	541.3	136.7	0.00750	0.03800	0.19790	0.04100	ok	1	
a_halleri	176016at33090	386.3	135.7	0.00000	0.04510	0.00010	0.03500	omega_boundary	1	
a_halleri	176328at33090	1189.6	400.4	0.00450	0.03780	0.12030	0.03900	ok	1	
a_halleri	177296at33090	368.1	114.9	0.01390	0.12420	0.11220	0.12000	ok	1	
a_halleri	177720at33090	1584.2	578.8	0.01340	0.04920	0.27150	0.06900	ok	1	
a_halleri	177964at33090	577.5	190.5	0.00700	0.07630	0.09110	0.07200	ok	1	
a_halleri	178386at33090	679.8	232.2	0.00830	0.06580	0.12590	0.06900	ok	1	
a_halleri	179975at33090	610.5	229.5	0.00660	0.03470	0.18980	0.04300	ok	1	
a_halleri	180408at33090	595.5	205.5	0.01180	0.04980	0.23750	0.06500	ok	1	
a_halleri	180466at33090	726.2	260.8	0.01320	0.04240	0.31190	0.06300	ok	1	
a_halleri	180674at33090	672.4	263.6	0.00300	0.03700	0.08040	0.03800	ok	1	
a_halleri	181108at33090	520.5	196.5	0.01580	0.05960	0.26550	0.08300	ok	1	
a_halleri	182493at33090	686.4	264.6	0.01180	0.03480	0.33960	0.05500	ok	1	
a_halleri	182513at33090	943.5	343.5	0.00800	0.06790	0.11740	0.07200	ok	1	
a_halleri	183313at33090	761.3	213.7	0.00800	0.08160	0.09840	0.07200	ok	1	
a_halleri	183396at33090	493.2	142.8	0.00610	0.09680	0.06280	0.07900	ok	1	
a_halleri	183719at33090	1086.9	377.1	0.01710	0.07100	0.24010	0.09300	ok	1	
a_halleri	183931at33090	739.6	202.4	0.00140	0.06010	0.02280	0.04200	ok	1	
a_halleri	184405at33090	1105.8	349.2	0.03420	0.07360	0.46500	0.13100	ok	1	
a_halleri	18455at33090	1716.6	557.4	0.00480	0.03750	0.12750	0.03800	ok	1	
a_halleri	185172at33090	425.2	144.8	0.00470	0.05150	0.09180	0.05000	ok	1	
a_halleri	185214at33090	611.6	228.4	0.00550	0.03200	0.17300	0.03800	ok	1	
a_halleri	1855at33090	4762.2	1609.8	0.01060	0.04470	0.23750	0.05800	ok	1	
a_halleri	185696at33090	1436.7	426.3	0.01530	0.07290	0.21050	0.08500	ok	1	
a_halleri	185941at33090	537.8	203.2	0.02870	0.06630	0.43340	0.11700	ok	1	
a_halleri	186340at33090	616.1	244.9	0.02100	0.03730	0.56360	0.07700	ok	1	
a_halleri	187462at33090	1060.5	343.5	0.00300	0.04660	0.06510	0.04100	ok	1	
a_halleri	187866at33090	290.4	108.6	0.01500	0.02300	0.65210	0.05100	ok	1	
a_halleri	187914at33090	993.1	308.9	0.00640	0.05190	0.12270	0.05100	ok	1	
a_halleri	18801at33090	2327.3	801.7	0.00900	0.05090	0.17640	0.05900	ok	1	
a_halleri	188180at33090	513.3	176.7	0.00980	0.04740	0.20790	0.05800	ok	1	
a_halleri	188436at33090	511.2	184.8	0.00200	0.08990	0.02180	0.07600	ok	1	
a_halleri	188583at33090	894.7	311.3	0.01640	0.05340	0.30620	0.07800	ok	1	
a_halleri	188938at33090	609.8	221.2	0.02130	0.10420	0.20420	0.13000	ok	1	
a_halleri	189891at33090	815.2	288.8	0.00630	0.09050	0.06950	0.08500	ok	1	
a_halleri	190390at33090	733.1	244.9	0.01630	0.01820	0.89760	0.05000	ok	1	
a_halleri	191396at33090	884.8	264.2	0.00800	0.10970	0.07250	0.09400	ok	1	
a_halleri	191581at33090	593.5	198.5	0.00340	0.05360	0.06250	0.04800	ok	1	
a_halleri	192090at33090	1799.0	517.0	0.00920	0.07080	0.12960	0.06900	ok	1	
a_halleri	192456at33090	476.1	144.9	0.01020	0.00000	999.00000	0.02300	omega_boundary	1	
a_halleri	192750at33090	640.7	196.3	0.00160	0.06440	0.02420	0.04900	ok	1	
a_halleri	193351at33090	260.4	78.6	0.00380	0.12110	0.03160	0.09300	ok	1	
a_halleri	193437at33090	608.7	180.3	0.01040	0.07400	0.14090	0.07500	ok	1	
a_halleri	193683at33090	554.5	156.5	0.00540	0.06610	0.08240	0.05600	ok	1	
a_halleri	193777at33090	714.4	263.6	0.01290	0.06900	0.18630	0.08400	ok	1	
a_halleri	193982at33090	503.6	168.4	0.01090	0.07950	0.13710	0.08400	ok	1	
a_halleri	194002at33090	528.9	164.1	0.01220	0.00130	9.02540	0.02900	ok	1	
a_halleri	194293at33090	758.5	243.5	0.01010	0.04630	0.21940	0.05700	ok	1	
a_halleri	194372at33090	344.5	108.5	0.01370	0.05610	0.24390	0.07200	ok	1	
a_halleri	194467at33090	569.6	243.4	0.00360	0.02790	0.12740	0.03300	ok	1	
a_halleri	195185at33090	631.1	211.9	0.00990	0.10070	0.09850	0.09800	ok	1	
a_halleri	195354at33090	464.7	162.3	0.01720	0.05860	0.29360	0.08400	ok	1	
a_halleri	195527at33090	942.4	317.6	0.00200	0.04640	0.04360	0.04000	ok	1	
a_halleri	195843at33090	526.8	163.2	0.01400	0.09130	0.15290	0.09700	ok	1	
a_halleri	196198at33090	387.2	161.8	0.00230	0.03030	0.07720	0.03200	ok	1	
a_halleri	196324at33090	639.9	182.1	0.01520	0.06330	0.23980	0.07800	ok	1	
a_halleri	196325at33090	762.2	266.8	0.00480	0.09280	0.05160	0.08300	ok	1	
a_halleri	196410at33090	525.5	137.5	0.00310	0.09940	0.03100	0.06900	ok	1	
a_halleri	196443at33090	470.9	192.1	0.01760	0.03710	0.47500	0.07000	ok	1	
a_halleri	196490at33090	771.2	281.8	0.01620	0.04960	0.32620	0.07500	ok	1	
a_halleri	196512at33090	1112.9	348.1	0.01060	0.08670	0.12280	0.08600	ok	1	
a_halleri	196850at33090	479.1	165.9	0.00250	0.02980	0.08290	0.02800	ok	1	
a_halleri	196873at33090	419.1	150.9	0.00920	0.08150	0.11230	0.08500	ok	1	
a_halleri	196991at33090	647.9	147.1	0.00290	0.04370	0.06700	0.03100	ok	1	
a_halleri	197780at33090	779.9	261.1	0.01330	0.06140	0.21640	0.07600	ok	1	
a_halleri	197838at33090	397.4	127.6	0.00730	0.03020	0.24350	0.03900	ok	1	
a_halleri	198012at33090	335.8	123.2	0.01200	0.06690	0.17980	0.08000	ok	1	
a_halleri	198570at33090	751.2	229.8	0.00410	0.07140	0.05680	0.06000	ok	1	
a_halleri	199163at33090	846.5	314.5	0.01780	0.07390	0.24050	0.09900	ok	1	
a_halleri	199618at33090	994.8	298.2	0.01020	0.10830	0.09440	0.09900	ok	1	
a_halleri	199795at33090	482.1	183.9	0.02150	0.09100	0.23670	0.12200	ok	1	
a_halleri	200316at33090	1032.0	360.0	0.00530	0.03290	0.16100	0.03700	ok	1	
a_halleri	200488at33090	969.0	306.0	0.01030	0.07790	0.13270	0.08000	ok	1	
a_halleri	200499at33090	853.2	310.8	0.00830	0.03310	0.25100	0.04500	ok	1	
a_halleri	200687at33090	536.1	171.9	0.00830	0.04210	0.19720	0.05000	ok	1	
a_halleri	201861at33090	481.6	178.4	0.00080	0.02770	0.02840	0.02400	ok	1	
a_halleri	203023at33090	427.3	136.7	0.00850	0.13540	0.06280	0.11800	ok	1	
a_halleri	203383at33090	823.3	232.7	0.00660	0.05420	0.12170	0.05100	ok	1	
a_halleri	203818at33090	427.9	145.1	0.00460	0.01940	0.23910	0.02500	ok	1	
a_halleri	204117at33090	718.6	235.4	0.04290	0.10910	0.39380	0.17800	ok	1	
a_halleri	204880at33090	609.2	230.8	0.01070	0.05370	0.19860	0.06800	ok	1	
a_halleri	205308at33090	636.0	186.0	0.00460	0.04640	0.09800	0.04200	ok	1	
a_halleri	206164at33090	394.1	148.9	0.00250	0.07180	0.03490	0.06500	ok	1	
a_halleri	206170at33090	514.4	181.6	0.00980	0.05920	0.16510	0.06800	ok	1	
a_halleri	207179at33090	859.6	286.4	0.00190	0.04800	0.03980	0.04000	ok	1	
a_halleri	208706at33090	625.0	191.0	0.00810	0.05740	0.14120	0.05900	ok	1	
a_halleri	208707at33090	315.0	114.0	0.01560	0.10150	0.15400	0.11500	ok	1	
a_halleri	208849at33090	253.4	82.6	0.00790	0.06970	0.11390	0.06900	ok	1	
a_halleri	209015at33090	588.2	173.8	0.00000	0.06960	0.00010	0.04800	omega_boundary	1	
a_halleri	209301at33090	816.5	263.5	0.00660	0.07330	0.08990	0.06900	ok	1	
a_halleri	209302at33090	588.6	215.4	0.01360	0.06600	0.20610	0.08300	ok	1	
a_halleri	209516at33090	562.4	163.6	0.00630	0.04930	0.12810	0.04800	ok	1	
a_halleri	210493at33090	348.2	71.8	0.00000	0.04680	0.00010	0.02400	omega_boundary	1	
a_halleri	210551at33090	566.6	189.4	0.01190	0.02830	0.42230	0.04800	ok	1	
a_halleri	210851at33090	432.7	152.3	0.01320	0.07990	0.16500	0.09200	ok	1	
a_halleri	21163at33090	2194.8	679.2	0.00890	0.06850	0.12980	0.06900	ok	1	
a_halleri	211645at33090	453.6	134.4	0.01120	0.02860	0.39330	0.04600	ok	1	
a_halleri	212331at33090	793.9	319.1	0.00370	0.07440	0.05020	0.07200	ok	1	
a_halleri	212845at33090	597.2	239.8	0.00790	0.09170	0.08650	0.09600	ok	1	
a_halleri	213827at33090	483.7	185.3	0.01130	0.07810	0.14440	0.08900	ok	1	
a_halleri	213828at33090	415.3	169.7	0.00730	0.07470	0.09780	0.08100	ok	1	
a_halleri	214313at33090	424.1	91.9	0.03210	0.06650	0.48340	0.11500	ok	1	
a_halleri	215062at33090	492.0	162.0	0.02270	0.10510	0.21590	0.12900	ok	1	
a_halleri	215487at33090	293.8	114.2	0.01130	0.10380	0.10910	0.11200	ok	1	
a_halleri	215817at33090	864.7	281.3	0.00450	0.03430	0.13220	0.03600	ok	1	
a_halleri	216228at33090	551.5	204.5	0.00610	0.09750	0.06270	0.09300	ok	1	
a_halleri	216601at33090	459.5	134.5	0.01470	0.06340	0.23280	0.07700	ok	1	
a_halleri	217014at33090	651.6	236.4	0.01790	0.05960	0.29960	0.08700	ok	1	
a_halleri	21751at33090	2307.9	893.1	0.00450	0.04100	0.11040	0.04400	ok	1	
a_halleri	21857at33090	1660.7	550.3	0.00870	0.05240	0.16640	0.05900	ok	1	
a_halleri	218947at33090	272.8	84.2	0.00730	0.10280	0.07120	0.09000	ok	1	
a_halleri	219128at33090	253.1	88.9	0.00970	0.04990	0.19480	0.06100	ok	1	
a_halleri	219839at33090	378.1	131.9	0.00530	0.04790	0.11090	0.04900	ok	1	
a_halleri	220316at33090	561.1	194.9	0.00900	0.08000	0.11290	0.08200	ok	1	
a_halleri	220587at33090	632.9	207.1	0.01060	0.07980	0.13240	0.08300	ok	1	
a_halleri	220589at33090	1082.6	375.4	0.02220	0.04050	0.54670	0.08100	ok	1	
a_halleri	22109at33090	1591.5	553.5	0.00630	0.07650	0.08250	0.07300	ok	1	
a_halleri	223902at33090	326.5	111.5	0.01560	0.06950	0.22490	0.08800	ok	1	
a_halleri	225336at33090	483.5	182.5	0.00790	0.03780	0.20980	0.04800	ok	1	
a_halleri	22618at33090	1797.5	629.5	0.00820	0.02850	0.28840	0.04000	ok	1	
a_halleri	227848at33090	571.2	184.8	0.01420	0.06240	0.22730	0.07800	ok	1	
a_halleri	228201at33090	738.4	269.6	0.01400	0.05180	0.27040	0.07200	ok	1	
a_halleri	22958at33090	2049.9	680.1	0.00540	0.04920	0.10960	0.04900	ok	1	
a_halleri	229764at33090	841.7	301.3	0.00960	0.07240	0.13320	0.07900	ok	1	
a_halleri	229778at33090	383.0	166.0	0.00850	0.06480	0.13070	0.07600	ok	1	
a_halleri	229782at33090	369.8	125.2	0.04010	0.03930	1.02110	0.12000	ok	1	
a_halleri	230103at33090	1069.9	361.1	0.00500	0.04460	0.11200	0.04500	ok	1	
a_halleri	231151at33090	699.2	230.8	0.01130	0.03810	0.29740	0.05400	ok	1	
a_halleri	231707at33090	607.4	208.6	0.00670	0.07090	0.09380	0.06900	ok	1	
a_halleri	233744at33090	390.6	143.4	0.00770	0.03680	0.21070	0.04700	ok	1	
a_halleri	23444at33090	1679.9	507.1	0.00830	0.06300	0.13110	0.06300	ok	1	
a_halleri	23853at33090	2009.2	720.8	0.00810	0.03540	0.22950	0.04600	ok	1	
a_halleri	24838at33090	2099.2	675.8	0.00680	0.04870	0.14030	0.05100	ok	1	
a_halleri	24at33090	11341.4	3868.6	0.00540	0.02500	0.21780	0.03100	ok	1	
a_halleri	25435at33090	2172.2	656.8	0.00720	0.04520	0.16000	0.04800	ok	1	
a_halleri	255at33090	5732.7	1980.3	0.00300	0.02790	0.10670	0.02800	ok	1	
a_halleri	26868at33090	1553.9	540.1	0.01250	0.05740	0.21780	0.07200	ok	1	
a_halleri	27237at33090	1793.6	615.4	0.00660	0.04300	0.15300	0.04800	ok	1	
a_halleri	27607at33090	1532.3	555.7	0.00150	0.04310	0.03400	0.03800	ok	1	
a_halleri	28920at33090	1787.7	606.3	0.00500	0.04490	0.11170	0.04500	ok	1	
a_halleri	31855at33090	1560.1	602.9	0.00660	0.05020	0.13060	0.05600	ok	1	
a_halleri	32730at33090	1391.4	396.6	0.01050	0.05850	0.17980	0.06300	ok	1	
a_halleri	32923at33090	1564.6	505.4	0.00760	0.04250	0.17860	0.04800	ok	1	
a_halleri	33264at33090	1347.4	467.6	0.01890	0.05270	0.35870	0.08300	ok	1	
a_halleri	34517at33090	1766.4	714.6	0.00400	0.05680	0.07010	0.05800	ok	1	
a_halleri	35499at33090	1560.0	561.0	0.00660	0.05030	0.13030	0.05400	ok	1	
a_halleri	35887at33090	1940.9	600.1	0.00980	0.04900	0.20040	0.05700	ok	1	
a_halleri	36284at33090	1708.9	610.1	0.00480	0.03850	0.12560	0.04100	ok	1	
