gene_id	dataset_index	tip	branch	t	N	S	omega	dN	dS	lnL	kappa	is_terminal	qc_flag
103382at33090	5	c_grandiflora	4..3	0.136	830.7	273.3	0.2859	0.0281	0.0983	-2203.116817	2.19649	True	ok
103382at33090	5		4..5	0.128	830.7	273.3	0.2859	0.0263	0.0921	-2203.116817	2.19649	False	ok
103382at33090	5	a_halleri	5..1	0.098	830.7	273.3	0.2859	0.0201	0.0703	-2203.116817	2.19649	True	ok
103382at33090	5	a_thaliana	5..2	0.109	830.7	273.3	0.2578	0.0212	0.0823	-2203.116817	2.19649	True	ok
104557at33090	6	c_grandiflora	4..3	0.068	1007.0	376.0	0.1181	0.0075	0.0637	-2336.675973	2.98576	True	ok
104557at33090	6		4..5	0.047	1007.0	376.0	0.1181	0.0051	0.0435	-2336.675973	2.98576	False	ok
104557at33090	6	a_halleri	5..1	0.043	1007.0	376.0	0.1181	0.0047	0.0401	-2336.675973	2.98576	True	ok
104557at33090	6	a_thaliana	5..2	0.058	1007.0	376.0	0.2833	0.0115	0.0406	-2336.675973	2.98576	True	ok
104821at33090	7	c_grandiflora	4..3	0.074	1017.8	311.2	0.1656	0.0113	0.0681	-2330.211473	1.90979	True	ok
104821at33090	7		4..5	0.076	1017.8	311.2	0.1656	0.0116	0.0702	-2330.211473	1.90979	False	ok
104821at33090	7	a_halleri	5..1	0.068	1017.8	311.2	0.1656	0.0104	0.0627	-2330.211473	1.90979	True	ok
104821at33090	7	a_thaliana	5..2	0.084	1017.8	311.2	0.0857	0.008	0.0931	-2330.211473	1.90979	True	ok
104867at33090	8	c_grandiflora	4..3	0.044	2135.3	612.7	0.2002	0.0077	0.0384	-5038.445778	2.23939	True	ok
104867at33090	8		4..5	0.131	2135.3	612.7	0.2002	0.023	0.1151	-5038.445778	2.23939	False	ok
104867at33090	8	a_halleri	5..1	0.073	2135.3	612.7	0.2002	0.0129	0.0645	-5038.445778	2.23939	True	ok
104867at33090	8	a_thaliana	5..2	0.089	2135.3	612.7	0.1424	0.0127	0.0893	-5038.445778	2.23939	True	ok
105044at33090	9	c_grandiflora	4..3	0.082	1673.9	489.1	0.0927	0.0085	0.0915	-3820.889324	1.26145	True	ok
105044at33090	9		4..5	0.092	1673.9	489.1	0.0927	0.0095	0.1025	-3820.889324	1.26145	False	ok
105044at33090	9	a_halleri	5..1	0.034	1673.9	489.1	0.0927	0.0036	0.0383	-3820.889324	1.26145	True	ok
105044at33090	9	a_thaliana	5..2	0.104	1673.9	489.1	0.0787	0.0095	0.1209	-3820.889324	1.26145	True	ok
105782at33090	10	c_grandiflora	4..3	0.08	804.7	284.3	0.1116	0.0086	0.0773	-1797.545734	2.53208	True	ok
105782at33090	10		4..5	0.077	804.7	284.3	0.1116	0.0083	0.0744	-1797.545734	2.53208	False	ok
105782at33090	10	a_halleri	5..1	0.019	804.7	284.3	0.1116	0.0021	0.0187	-1797.545734	2.53208	True	ok
105782at33090	10	a_thaliana	5..2	0.043	804.7	284.3	0.1261	0.0051	0.0402	-1797.545734	2.53208	True	ok
105867at33090	11	c_grandiflora	4..3	0.061	949.2	331.8	0.0721	0.0047	0.0649	-2237.289301	2.42131	True	ok
105867at33090	11		4..5	0.117	949.2	331.8	0.0721	0.009	0.1247	-2237.289301	2.42131	False	ok
105867at33090	11	a_halleri	5..1	0.058	949.2	331.8	0.0721	0.0045	0.0618	-2237.289301	2.42131	True	ok
105867at33090	11	a_thaliana	5..2	0.073	949.2	331.8	0.1018	0.0074	0.073	-2237.289301	2.42131	True	ok
106769at33090	12	c_grandiflora	4..3	0.04	865.3	283.7	0.0886	0.0038	0.0424	-1980.391679	2.11282	True	ok
106769at33090	12		4..5	0.063	865.3	283.7	0.0886	0.0059	0.0669	-1980.391679	2.11282	False	ok
106769at33090	12	a_halleri	5..1	0.083	865.3	283.7	0.0886	0.0078	0.0885	-1980.391679	2.11282	True	ok
106769at33090	12	a_thaliana	5..2	0.077	865.3	283.7	0.0678	0.0058	0.0859	-1980.391679	2.11282	True	ok
106886at33090	13	c_grandiflora	4..3	0.125	980.5	261.5	0.0397	0.0069	0.1729	-2210.14215	1.5559	True	ok
106886at33090	13		4..5	0.065	980.5	261.5	0.0397	0.0035	0.0891	-2210.14215	1.5559	False	ok
106886at33090	13	a_halleri	5..1	0.037	980.5	261.5	0.0397	0.002	0.0515	-2210.14215	1.5559	True	ok
106886at33090	13	a_thaliana	5..2	0.16	980.5	261.5	0.0424	0.0093	0.2182	-2210.14215	1.5559	True	ok
107107at33090	14	c_grandiflora	4..3	0.124	1180.8	343.2	0.2968	0.027	0.0909	-2882.334068	1.41476	True	ok
107107at33090	14		4..5	0.076	1180.8	343.2	0.2968	0.0165	0.0557	-2882.334068	1.41476	False	ok
107107at33090	14	a_halleri	5..1	0.082	1180.8	343.2	0.2968	0.0177	0.0598	-2882.334068	1.41476	True	ok
107107at33090	14	a_thaliana	5..2	0.084	1180.8	343.2	0.3235	0.0189	0.0585	-2882.334068	1.41476	True	ok
108705at33090	15	c_grandiflora	4..3	0.065	1017.5	377.5	0.1511	0.0087	0.0573	-2599.831436	1.8442	True	ok
108705at33090	15		4..5	0.105	1017.5	377.5	0.1511	0.0139	0.0921	-2599.831436	1.8442	False	ok
108705at33090	15	a_halleri	5..1	0.089	1017.5	377.5	0.1511	0.0117	0.0776	-2599.831436	1.8442	True	ok
108705at33090	15	a_thaliana	5..2	0.102	1017.5	377.5	0.2068	0.0167	0.0807	-2599.831436	1.8442	True	ok
10924at33090	16	c_grandiflora	4..3	0.052	2197.5	694.5	0.2144	0.0091	0.0427	-5047.021583	1.9586	True	ok
10924at33090	16		4..5	0.116	2197.5	694.5	0.2144	0.0205	0.0958	-5047.021583	1.9586	False	ok
10924at33090	16	a_halleri	5..1	0.045	2197.5	694.5	0.2144	0.008	0.0371	-5047.021583	1.9586	True	ok
10924at33090	16	a_thaliana	5..2	0.043	2197.5	694.5	0.1828	0.0068	0.0374	-5047.021583	1.9586	True	ok
109586at33090	17	c_grandiflora	4..3	0.056	1150.1	391.9	0.1374	0.0072	0.0522	-2772.028041	1.67477	True	ok
109586at33090	17		4..5	0.1	1150.1	391.9	0.1374	0.0129	0.0938	-2772.028041	1.67477	False	ok
109586at33090	17	a_halleri	5..1	0.045	1150.1	391.9	0.1374	0.0058	0.042	-2772.028041	1.67477	True	ok
109586at33090	17	a_thaliana	5..2	0.107	1150.1	391.9	0.1374	0.0138	0.1004	-2772.028041	1.67477	True	ok
109823at33090	18	c_grandiflora	4..3	0.113	771.0	297.0	0.0973	0.0105	0.1084	-1825.276174	2.71774	True	ok
109823at33090	18		4..5	0.072	771.0	297.0	0.0973	0.0067	0.0692	-1825.276174	2.71774	False	ok
109823at33090	18	a_halleri	5..1	0.029	771.0	297.0	0.0973	0.0027	0.0273	-1825.276174	2.71774	True	ok
109823at33090	18	a_thaliana	5..2	0.04	771.0	297.0	0.2187	0.0066	0.0303	-1825.276174	2.71774	True	ok
110222at33090	19	c_grandiflora	4..3	0.083	1372.9	391.1	0.1999	0.0147	0.0733	-3257.690699	1.4214	True	ok
110222at33090	19		4..5	0.155	1372.9	391.1	0.1999	0.0273	0.1366	-3257.690699	1.4214	False	ok
110222at33090	19	a_halleri	5..1	0.059	1372.9	391.1	0.1999	0.0104	0.052	-3257.690699	1.4214	True	ok
110222at33090	19	a_thaliana	5..2	0.08	1372.9	391.1	0.1577	0.0123	0.0779	-3257.690699	1.4214	True	ok
111210at33090	20	c_grandiflora	4..3	0.111	826.3	268.7	0.1419	0.0149	0.1048	-1909.551111	1.9206	True	ok
111210at33090	20		4..5	0.091	826.3	268.7	0.1419	0.0123	0.0864	-1909.551111	1.9206	False	ok
111210at33090	20	a_halleri	5..1	0.037	826.3	268.7	0.1419	0.005	0.0352	-1909.551111	1.9206	True	ok
111210at33090	20	a_thaliana	5..2	0.048	826.3	268.7	0.0672	0.0036	0.0536	-1909.551111	1.9206	True	ok
111213at33090	1	c_grandiflora	4..3	0.065	746.7	294.3	0.1325	0.0076	0.0573	-1812.44825	2.38231	True	ok
111213at33090	1		4..5	0.054	746.7	294.3	0.1325	0.0063	0.0478	-1812.44825	2.38231	False	ok
111213at33090	1	a_halleri	5..1	0.068	746.7	294.3	0.1325	0.008	0.0604	-1812.44825	2.38231	True	ok
111213at33090	1	a_thaliana	5..2	0.061	746.7	294.3	0.2474	0.0109	0.044	-1812.44825	2.38231	True	ok
111249at33090	2	c_grandiflora	4..3	0.129	911.7	297.3	0.2589	0.0253	0.0976	-2392.349843	1.50419	True	ok
111249at33090	2		4..5	0.162	911.7	297.3	0.2589	0.0316	0.1221	-2392.349843	1.50419	False	ok
111249at33090	2	a_halleri	5..1	0.067	911.7	297.3	0.2589	0.0131	0.0507	-2392.349843	1.50419	True	ok
111249at33090	2	a_thaliana	5..2	0.109	911.7	297.3	0.3278	0.0241	0.0735	-2392.349843	1.50419	True	ok
111924at33090	3	c_grandiflora	4..3	0.104	743.1	231.9	0.1082	0.0117	0.1082	-1737.630317	1.97726	True	ok
111924at33090	3		4..5	0.098	743.1	231.9	0.1082	0.011	0.1017	-1737.630317	1.97726	False	ok
111924at33090	3	a_halleri	5..1	0.059	743.1	231.9	0.1082	0.0066	0.0614	-1737.630317	1.97726	True	ok
111924at33090	3	a_thaliana	5..2	0.082	743.1	231.9	0.0668	0.0063	0.0942	-1737.630317	1.97726	True	ok
112325at33090	4	c_grandiflora	4..3	0.142	860.5	255.5	0.1365	0.0193	0.1416	-2094.241421	1.97351	True	ok
112325at33090	4		4..5	0.142	860.5	255.5	0.1365	0.0193	0.1416	-2094.241421	1.97351	False	ok
112325at33090	4	a_halleri	5..1	0.074	860.5	255.5	0.1365	0.0101	0.074	-2094.241421	1.97351	True	ok
112325at33090	4	a_thaliana	5..2	0.09	860.5	255.5	0.0509	0.0057	0.1122	-2094.241421	1.97351	True	ok
112461at33090	5	c_grandiflora	4..3	0.107	1284.8	389.2	0.1406	0.0148	0.105	-2938.303356	1.58537	True	ok
112461at33090	5		4..5	0.104	1284.8	389.2	0.1406	0.0143	0.102	-2938.303356	1.58537	False	ok
112461at33090	5	a_halleri	5..1	0.04	1284.8	389.2	0.1406	0.0055	0.039	-2938.303356	1.58537	True	ok
112461at33090	5	a_thaliana	5..2	0.041	1284.8	389.2	0.1239	0.0051	0.0413	-2938.303356	1.58537	True	ok
112542at33090	6	c_grandiflora	4..3	0.056	765.1	299.9	0.2172	0.0092	0.0424	-1885.286375	2.5846	True	ok
112542at33090	6		4..5	0.043	765.1	299.9	0.2172	0.0072	0.0329	-1885.286375	2.5846	False	ok
112542at33090	6	a_halleri	5..1	0.088	765.1	299.9	0.2172	0.0146	0.0673	-1885.286375	2.5846	True	ok
112542at33090	6	a_thaliana	5..2	0.089	765.1	299.9	0.116	0.0094	0.0809	-1885.286375	2.5846	True	ok
114996at33090	7	c_grandiflora	4..3	0.07	2996.5	948.5	0.188	0.0115	0.0609	-6818.59175	1.76028	True	ok
114996at33090	7		4..5	0.065	2996.5	948.5	0.188	0.0106	0.0565	-6818.59175	1.76028	False	ok
114996at33090	7	a_halleri	5..1	0.044	2996.5	948.5	0.188	0.0073	0.0387	-6818.59175	1.76028	True	ok
114996at33090	7	a_thaliana	5..2	0.061	2996.5	948.5	0.2521	0.0118	0.0468	-6818.59175	1.76028	True	ok
115240at33090	8	c_grandiflora	4..3	0.131	922.8	319.2	0.0798	0.0111	0.1385	-2152.524611	2.37806	True	ok
115240at33090	8		4..5	0.082	922.8	319.2	0.0798	0.0069	0.0867	-2152.524611	2.37806	False	ok
115240at33090	8	a_halleri	5..1	0.036	922.8	319.2	0.0798	0.003	0.0379	-2152.524611	2.37806	True	ok
115240at33090	8	a_thaliana	5..2	0.064	922.8	319.2	0.0621	0.0043	0.0698	-2152.524611	2.37806	True	ok
115992at33090	9	c_grandiflora	4..3	0.072	648.8	248.2	0.0213	0.0017	0.0822	-1497.696682	3.20034	True	ok
115992at33090	9		4..5	0.081	648.8	248.2	0.0213	0.002	0.0923	-1497.696682	3.20034	False	ok
115992at33090	9	a_halleri	5..1	0.04	648.8	248.2	0.0213	0.001	0.046	-1497.696682	3.20034	True	ok
115992at33090	9	a_thaliana	5..2	0.057	648.8	248.2	0.0525	0.0031	0.0599	-1497.696682	3.20034	True	ok
116411at33090	10	c_grandiflora	4..3	0.066	822.3	272.7	0.1147	0.0075	0.0658	-1864.749472	1.94317	True	ok
116411at33090	10		4..5	0.049	822.3	272.7	0.1147	0.0056	0.0491	-1864.749472	1.94317	False	ok
116411at33090	10	a_halleri	5..1	0.049	822.3	272.7	0.1147	0.0056	0.0488	-1864.749472	1.94317	True	ok
116411at33090	10	a_thaliana	5..2	0.069	822.3	272.7	0.0635	0.0049	0.0777	-1864.749472	1.94317	True	ok
116516at33090	11	c_grandiflora	4..3	0.049	1216.7	427.3	0.1142	0.0054	0.0477	-2832.680537	2.23911	True	ok
116516at33090	11		4..5	0.06	1216.7	427.3	0.1142	0.0066	0.0582	-2832.680537	2.23911	False	ok
116516at33090	11	a_halleri	5..1	0.058	1216.7	427.3	0.1142	0.0064	0.0562	-2832.680537	2.23911	True	ok
116516at33090	11	a_thaliana	5..2	0.084	1216.7	427.3	0.0617	0.0056	0.0915	-2832.680537	2.23911	True	ok
116585at33090	12	c_grandiflora	4..3	0.105	844.8	277.2	0.1502	0.0146	0.0971	-2054.357814	1.70358	True	ok
116585at33090	12		4..5	0.146	844.8	277.2	0.1502	0.0203	0.1354	-2054.357814	1.70358	False	ok
116585at33090	12	a_halleri	5..1	0.037	844.8	277.2	0.1502	0.0051	0.0339	-2054.357814	1.70358	True	ok
116585at33090	12	a_thaliana	5..2	0.068	844.8	277.2	0.139	0.009	0.0649	-2054.357814	1.70358	True	ok
116623at33090	13	c_grandiflora	4..3	0.077	913.4	298.6	0.1626	0.0114	0.07	-2357.71699	1.96612	True	ok
116623at33090	13		4..5	0.126	913.4	298.6	0.1626	0.0185	0.1136	-2357.71699	1.96612	False	ok
116623at33090	13	a_halleri	5..1	0.127	913.4	298.6	0.1626	0.0187	0.115	-2357.71699	1.96612	True	ok
116623at33090	13	a_thaliana	5..2	0.095	913.4	298.6	0.4394	0.0241	0.0548	-2357.71699	1.96612	True	ok
117191at33090	14	c_grandiflora	4..3	0.088	862.8	343.2	0.0751	0.0065	0.0871	-2060.64207	2.87681	True	ok
117191at33090	14		4..5	0.058	862.8	343.2	0.0751	0.0043	0.0573	-2060.64207	2.87681	False	ok
117191at33090	14	a_halleri	5..1	0.06	862.8	343.2	0.0751	0.0044	0.0586	-2060.64207	2.87681	True	ok
117191at33090	14	a_thaliana	5..2	0.051	862.8	343.2	0.0976	0.0047	0.0477	-2060.64207	2.87681	True	ok
117247at33090	15	c_grandiflora	4..3	0.087	776.7	264.3	0.1006	0.0089	0.0881	-1850.493297	2.07373	True	ok
117247at33090	15		4..5	0.056	776.7	264.3	0.1006	0.0057	0.0566	-1850.493297	2.07373	False	ok
117247at33090	15	a_halleri	5..1	0.089	776.7	264.3	0.1006	0.0091	0.0902	-1850.493297	2.07373	True	ok
117247at33090	15	a_thaliana	5..2	0.076	776.7	264.3	0.1263	0.0092	0.0732	-1850.493297	2.07373	True	ok
11800at33090	16	c_grandiflora	4..3	0.09	2848.0	947.0	0.0733	0.0072	0.0983	-6773.04148	2.1046	True	ok
11800at33090	16		4..5	0.115	2848.0	947.0	0.0733	0.0092	0.1256	-6773.04148	2.1046	False	ok
11800at33090	16	a_halleri	5..1	0.076	2848.0	947.0	0.0733	0.0061	0.0827	-6773.04148	2.1046	True	ok
11800at33090	16	a_thaliana	5..2	0.074	2848.0	947.0	0.075	0.0061	0.081	-6773.04148	2.1046	True	ok
119439at33090	17	c_grandiflora	4..3	0.1	1010.3	393.7	0.0945	0.009	0.0953	-2510.78829	1.9628	True	ok
119439at33090	17		4..5	0.145	1010.3	393.7	0.0945	0.0131	0.1385	-2510.78829	1.9628	False	ok
119439at33090	17	a_halleri	5..1	0.05	1010.3	393.7	0.0945	0.0045	0.0481	-2510.78829	1.9628	True	ok
119439at33090	17	a_thaliana	5..2	0.067	1010.3	393.7	0.0927	0.006	0.0643	-2510.78829	1.9628	True	ok
120031at33090	18	c_grandiflora	4..3	0.103	922.8	331.2	0.3188	0.022	0.0689	-2361.546952	2.35945	True	ok
120031at33090	18		4..5	0.106	922.8	331.2	0.3188	0.0226	0.0709	-2361.546952	2.35945	False	ok
120031at33090	18	a_halleri	5..1	0.051	922.8	331.2	0.3188	0.0108	0.0338	-2361.546952	2.35945	True	ok
120031at33090	18	a_thaliana	5..2	0.094	922.8	331.2	0.4513	0.0236	0.0523	-2361.546952	2.35945	True	ok
120455at33090	19	c_grandiflora	4..3	0.082	706.3	280.7	0.2289	0.014	0.061	-1811.455986	2.8021	True	ok
120455at33090	19		4..5	0.083	706.3	280.7	0.2289	0.0142	0.0619	-1811.455986	2.8021	False	ok
120455at33090	19	a_halleri	5..1	0.078	706.3	280.7	0.2289	0.0133	0.0583	-1811.455986	2.8021	True	ok
120455at33090	19	a_thaliana	5..2	0.084	706.3	280.7	0.1796	0.0122	0.0682	-1811.455986	2.8021	True	ok
120589at33090	20	c_grandiflora	4..3	0.026	1227.4	359.6	0.0441	0.0015	0.0337	-2665.763339	1.26769	True	ok
120589at33090	20		4..5	0.088	1227.4	359.6	0.0441	0.0049	0.112	-2665.763339	1.26769	False	ok
120589at33090	20	a_halleri	5..1	0.061	1227.4	359.6	0.0441	0.0034	0.0775	-2665.763339	1.26769	True	ok
120589at33090	20	a_thaliana	5..2	0.074	1227.4	359.6	0.078	0.0067	0.0855	-2665.763339	1.26769	True	ok
121281at33090	1	c_grandiflora	4..3	0.129	771.5	293.5	0.2107	0.0212	0.1006	-1977.996367	2.72013	True	ok
121281at33090	1		4..5	0.062	771.5	293.5	0.2107	0.0101	0.048	-1977.996367	2.72013	False	ok
121281at33090	1	a_halleri	5..1	0.072	771.5	293.5	0.2107	0.0118	0.0558	-1977.996367	2.72013	True	ok
121281at33090	1	a_thaliana	5..2	0.104	771.5	293.5	0.1096	0.0107	0.0975	-1977.996367	2.72013	True	ok
122367at33090	2	c_grandiflora	4..3	0.082	1009.8	418.2	0.2564	0.0148	0.0577	-2772.512148	2.23999	True	ok
122367at33090	2		4..5	0.125	1009.8	418.2	0.2564	0.0225	0.0876	-2772.512148	2.23999	False	ok
122367at33090	2	a_halleri	5..1	0.067	1009.8	418.2	0.2564	0.0121	0.0473	-2772.512148	2.23999	True	ok
122367at33090	2	a_thaliana	5..2	0.125	1009.8	418.2	0.2507	0.0223	0.0889	-2772.512148	2.23999	True	ok
122422at33090	3	c_grandiflora	4..3	0.073	733.1	232.9	0.0787	0.0064	0.0808	-1686.409546	1.76117	True	ok
122422at33090	3		4..5	0.084	733.1	232.9	0.0787	0.0073	0.0931	-1686.409546	1.76117	False	ok
122422at33090	3	a_halleri	5..1	0.065	733.1	232.9	0.0787	0.0057	0.0723	-1686.409546	1.76117	True	ok
122422at33090	3	a_thaliana	5..2	0.082	733.1	232.9	0.0751	0.0069	0.0916	-1686.409546	1.76117	True	ok
122831at33090	4	c_grandiflora	4..3	0.088	1240.9	373.1	0.1227	0.0111	0.0902	-2920.73877	1.99111	True	ok
122831at33090	4		4..5	0.06	1240.9	373.1	0.1227	0.0075	0.0611	-2920.73877	1.99111	False	ok
122831at33090	4	a_halleri	5..1	0.089	1240.9	373.1	0.1227	0.0112	0.0912	-2920.73877	1.99111	True	ok
122831at33090	4	a_thaliana	5..2	0.098	1240.9	373.1	0.1486	0.014	0.0942	-2920.73877	1.99111	True	ok
122958at33090	5	c_grandiflora	4..3	0.04	766.0	230.0	0.1583	0.0059	0.0376	-1777.860066	1.16405	True	ok
122958at33090	5		4..5	0.127	766.0	230.0	0.1583	0.019	0.12	-1777.860066	1.16405	False	ok
122958at33090	5	a_halleri	5..1	0.048	766.0	230.0	0.1583	0.0072	0.0452	-1777.860066	1.16405	True	ok
122958at33090	5	a_thaliana	5..2	0.082	766.0	230.0	0.1417	0.0113	0.0801	-1777.860066	1.16405	True	ok
123838at33090	6	c_grandiflora	4..3	0.115	780.9	254.1	0.1344	0.0148	0.11	-1950.910073	2.32585	True	ok
123838at33090	6		4..5	0.148	780.9	254.1	0.1344	0.0191	0.142	-1950.910073	2.32585	False	ok
123838at33090	6	a_halleri	5..1	0.078	780.9	254.1	0.1344	0.01	0.0747	-1950.910073	2.32585	True	ok
123838at33090	6	a_thaliana	5..2	0.084	780.9	254.1	0.4748	0.0221	0.0466	-1950.910073	2.32585	True	ok
125747at33090	7	c_grandiflora	4..3	0.07	759.4	224.6	0.1176	0.0086	0.0735	-1690.964528	1.38144	True	ok
125747at33090	7		4..5	0.073	759.4	224.6	0.1176	0.009	0.0768	-1690.964528	1.38144	False	ok
125747at33090	7	a_halleri	5..1	0.041	759.4	224.6	0.1176	0.0051	0.043	-1690.964528	1.38144	True	ok
125747at33090	7	a_thaliana	5..2	0.07	759.4	224.6	0.1368	0.0096	0.0699	-1690.964528	1.38144	True	ok
126138at33090	8	c_grandiflora	4..3	0.084	1208.9	405.1	0.1012	0.0086	0.0852	-2909.308445	1.85411	True	ok
126138at33090	8		4..5	0.125	1208.9	405.1	0.1012	0.0129	0.1271	-2909.308445	1.85411	False	ok
126138at33090	8	a_halleri	5..1	0.042	1208.9	405.1	0.1012	0.0044	0.0433	-2909.308445	1.85411	True	ok
126138at33090	8	a_thaliana	5..2	0.083	1208.9	405.1	0.2265	0.0148	0.0655	-2909.308445	1.85411	True	ok
126427at33090	9	c_grandiflora	4..3	0.085	721.3	244.7	0.1814	0.0132	0.0728	-1863.582073	1.34893	True	ok
126427at33090	9		4..5	0.084	721.3	244.7	0.1814	0.013	0.0717	-1863.582073	1.34893	False	ok
126427at33090	9	a_halleri	5..1	0.07	721.3	244.7	0.1814	0.011	0.0604	-1863.582073	1.34893	True	ok
126427at33090	9	a_thaliana	5..2	0.155	721.3	244.7	0.2885	0.0318	0.1103	-1863.582073	1.34893	True	ok
128774at33090	10	c_grandiflora	4..3	0.089	623.1	219.9	0.2524	0.0167	0.066	-1500.992355	4.17606	True	ok
128774at33090	10		4..5	0.106	623.1	219.9	0.2524	0.02	0.0791	-1500.992355	4.17606	False	ok
128774at33090	10	a_halleri	5..1	0.036	623.1	219.9	0.2524	0.0068	0.027	-1500.992355	4.17606	True	ok
128774at33090	10	a_thaliana	5..2	0.078	623.1	219.9	0.1727	0.0116	0.0672	-1500.992355	4.17606	True	ok
130268at33090	11	c_grandiflora	4..3	0.125	804.4	260.6	0.1234	0.0152	0.1229	-1953.127744	1.55315	True	ok
130268at33090	11		4..5	0.06	804.4	260.6	0.1234	0.0074	0.0597	-1953.127744	1.55315	False	ok
130268at33090	11	a_halleri	5..1	0.055	804.4	260.6	0.1234	0.0066	0.0538	-1953.127744	1.55315	True	ok
130268at33090	11	a_thaliana	5..2	0.114	804.4	260.6	0.0683	0.0088	0.1286	-1953.127744	1.55315	True	ok
130279at33090	12	c_grandiflora	4..3	0.109	904.1	319.9	0.2378	0.0197	0.083	-2243.513278	3.25551	True	ok
130279at33090	12		4..5	0.029	904.1	319.9	0.2378	0.0053	0.0224	-2243.513278	3.25551	False	ok
130279at33090	12	a_halleri	5..1	0.089	904.1	319.9	0.2378	0.0161	0.0677	-2243.513278	3.25551	True	ok
130279at33090	12	a_thaliana	5..2	0.117	904.1	319.9	0.0869	0.0105	0.1203	-2243.513278	3.25551	True	ok
13039at33090	13	c_grandiflora	4..3	0.109	2189.1	726.9	0.1115	0.0122	0.1095	-5129.675534	2.39149	True	ok
13039at33090	13		4..5	0.033	2189.1	726.9	0.1115	0.0037	0.0334	-5129.675534	2.39149	False	ok
13039at33090	13	a_halleri	5..1	0.066	2189.1	726.9	0.1115	0.0074	0.0664	-5129.675534	2.39149	True	ok
13039at33090	13	a_thaliana	5..2	0.08	2189.1	726.9	0.1193	0.0094	0.0787	-5129.675534	2.39149	True	ok
130637at33090	14	c_grandiflora	4..3	0.039	1044.1	362.9	0.0786	0.0032	0.0413	-2473.934212	1.78034	True	ok
130637at33090	14		4..5	0.107	1044.1	362.9	0.0786	0.0088	0.1124	-2473.934212	1.78034	False	ok
130637at33090	14	a_halleri	5..1	0.082	1044.1	362.9	0.0786	0.0068	0.086	-2473.934212	1.78034	True	ok
130637at33090	14	a_thaliana	5..2	0.063	1044.1	362.9	0.1169	0.0072	0.0612	-2473.934212	1.78034	True	ok
131556at33090	15	c_grandiflora	4..3	0.139	1068.5	350.5	0.1331	0.0177	0.1331	-2627.571946	1.52071	True	ok
131556at33090	15		4..5	0.084	1068.5	350.5	0.1331	0.0107	0.0805	-2627.571946	1.52071	False	ok
131556at33090	15	a_halleri	5..1	0.045	1068.5	350.5	0.1331	0.0057	0.043	-2627.571946	1.52071	True	ok
131556at33090	15	a_thaliana	5..2	0.099	1068.5	350.5	0.1289	0.0123	0.0957	-2627.571946	1.52071	True	ok
131874at33090	16	c_grandiflora	4..3	0.066	1471.9	553.1	0.1361	0.008	0.0591	-3606.946843	2.45954	True	ok
131874at33090	16		4..5	0.126	1471.9	553.1	0.1361	0.0154	0.1129	-3606.946843	2.45954	False	ok
131874at33090	16	a_halleri	5..1	0.054	1471.9	553.1	0.1361	0.0066	0.0488	-3606.946843	2.45954	True	ok
131874at33090	16	a_thaliana	5..2	0.059	1471.9	553.1	0.1171	0.0064	0.0551	-3606.946843	2.45954	True	ok
131914at33090	17	c_grandiflora	4..3	0.037	713.0	250.0	0.1088	0.004	0.0367	-1698.378814	1.81223	True	ok
131914at33090	17		4..5	0.115	713.0	250.0	0.1088	0.0123	0.1129	-1698.378814	1.81223	False	ok
